year;month;casos;municipality_code_ibge
2016;9;6;3143302
2016;10;20;3143302
2016;11;29;3143302
2016;12;35;3143302
2017;1;58;3143302
2017;2;23;3143302
2017;3;19;3143302
2017;4;41;3143302
2017;5;17;3143302
2017;6;6;3143302
2017;7;2;3143302
2017;8;1;3143302
2017;9;3;3143302
2017;10;3;3143302
2017;11;10;3143302
2017;12;14;3143302
2017;12;9;3143302
2018;1;36;3143302
2018;2;69;3143302
2018;3;83;3143302
2018;4;261;3143302
2018;5;183;3143302
2018;6;109;3143302
2018;7;80;3143302
2018;8;33;3143302
2018;9;18;3143302
2018;10;31;3143302
2018;11;34;3143302
2018;12;27;3143302
2018;12;25;3143302
2019;1;339;3143302
2019;2;430;3143302
2019;3;1173;3143302
2019;4;2244;3143302
2019;5;4298;3143302
2019;6;938;3143302
2019;7;122;3143302
2019;8;28;3143302
2019;9;57;3143302
2019;10;30;3143302
2019;11;30;3143302
2019;12;40;3143302
2019;12;14;3143302
2020;1;85;3143302
2020;2;96;3143302
2020;3;147;3143302
2020;4;62;3143302
2020;5;95;3143302
2020;6;58;3143302
2020;7;76;3143302
2020;8;75;3143302
2020;9;49;3143302
2020;10;43;3143302
2020;11;76;3143302
2020;12;39;3143302
2021;1;63;3143302
2021;2;100;3143302
2021;3;157;3143302
2021;4;72;3143302
2021;5;49;3143302
2021;6;29;3143302
2021;7;21;3143302
2021;8;53;3143302
2021;9;27;3143302
2021;10;28;3143302
2021;11;43;3143302
2021;12;46;3143302
2022;1;242;3143302
2022;2;449;3143302
2022;3;1984;3143302
2022;4;2751;3143302
2022;5;2957;3143302
2022;6;946;3143302
2022;7;363;3143302
2022;8;149;3143302
2022;9;126;3143302
2022;10;170;3143302
2022;11;230;3143302
2022;12;401;3143302
2023;1;5618;3143302
2023;2;11942;3143302
2023;3;5481;3143302
2023;4;1557;3143302
2023;5;546;3143302
2023;6;195;3143302
2023;7;158;3143302
2023;8;103;3143302
2023;9;125;3143302
2023;10;217;3143302
2023;11;363;3143302
2023;12;405;3143302
2023;12;230;3143302
2024;1;2417;3143302
2024;2;8863;3143302
2024;3;14202;3143302
2024;4;5211;3143302
2024;5;1898;3143302
2024;6;572;3143302
2024;7;231;3143302
2024;8;177;3143302
2024;9;263;3143302
2024;10;280;3143302
2024;11;549;3143302
2024;12;625;3143302
2024;12;135;3143302
2025;1;716;3143302
2025;2;678;3143302
2025;3;616;3143302
2025;4;382;3143302
2025;5;379;3143302
2025;6;313;3143302
2025;7;176;3143302
2025;8;298;3143302
2025;9;286;3143302
2025;10;245;3143302
2025;11;17;3143302
2015;1;19;3154606
2015;2;22;3154606
2015;3;184;3154606
2015;4;438;3154606
2015;5;629;3154606
2015;6;220;3154606
2015;7;63;3154606
2015;8;31;3154606
2015;9;19;3154606
2015;10;26;3154606
2015;11;76;3154606
2015;12;139;3154606
2016;1;1447;3154606
2016;2;4006;3154606
2016;3;4087;3154606
2016;4;2341;3154606
2016;5;556;3154606
2016;6;43;3154606
2016;7;27;3154606
2016;8;9;3154606
2016;9;173;3154606
2016;10;213;3154606
2016;11;27;3154606
2016;12;53;3154606
2017;1;69;3154606
2017;2;91;3154606
2017;3;70;3154606
2017;4;63;3154606
2017;5;28;3154606
2017;6;17;3154606
2017;7;15;3154606
2017;8;8;3154606
